"","Trial Damage Support Artifacts by Aragon (25-January-2026) #","Trial Artifacts","Damage Boost at 150% debuffs & 90% damage buffs","Duration","Notes","","",""
"","1","Demogorgon's Reach","10.56%","6s","calculated at 120% combat advantage. increased by awareness reduction","","",""
"","2","Mythallar Fragment","6.00%","10s","","","",""
"","3","Halaster's / Xeleth's Blast Scepter","6.00%","10s","","","",""
"","4","Frozen Storyteller's Journal","5.26%","15s","","","",""
"","5","Nightflame Censer","4.80%","10s","","","",""
"","6","Wyvern Knives / Dragonbone Blades","4.80%","10s","","","",""
"","7","Assassin's Dice","4.77%","15s","calculated with vulnerability, at -14% enemy critical avoidance and 85% deflect severity","","",""
"","8","Tentacle Rod","4.23%","10s","calculated with dulled sense, at -14% enemy awareness","","",""
"","9","Crystal of Soul's Flight","4.00%","10s","","","",""
"","10","Marco's Mystic Marker","4.00%","10s","","","",""
"","11","Token of Chromatic / Beacon of Meteor","4.00%","10s","","","",""
"","12","Lantern / Spelljammer","4.00%","10s","","","",""
"","13","Black Dragon's Mark","4.00%","10s","","","",""
"","14","Heart of the Volcano / Black Dragon","4.00%","10s","","","",""
"","15","Charm of the Serpent","4.00%","10s","","","",""
"","16","Jewel of Caldera","4.00%","10s","moves your character significantly","","",""
"","17","Jewel of the North","4.00%","10s","moves your character significantly","","",""
"","18","Thirst","4.00%","10s","moves your character significantly","","",""
"","19","Demon Skull","3.90%","10s","takes 8s before the first imp perishes, and 12s for the last","","",""
"","20","Broken Halo","3.90%","10s","","","",""
"","21","Sealing Parchment","3.00%","10s","","","",""
"","22","Wand of Domination","3.00%","10s","","","",""
"","23","Marilith Mask","3.00%","10s","","","",""
"","24","Realm Engine Core","3.00%","10s","","","",""
"","25","Bloodbrass Pistol","2.40%","10s"," calculated not in the pirates skyhold","","",""
"","26","Grace of Pelor","2.10%","15s","only works to buff your party of 5 players","","",""
"","","Dungeon Artifacts","","Duration","Notes","","",""
"","1","Demogorgon's Reach","13.89%","6s","calculated at 120% combat advantage. increased by awareness reduction","","",""
"","2","Mythallar Fragment","7.89%","10s","","","",""
"","3","Halaster's / Xeleth's Blast Scepter","7.89%","10s","","","",""
"","4","Nightflame Censer","6.32%","10s","","","",""
"","5","Wyvern Knives / Dragonbone Blades","6.32%","10s","","","",""
"","6","Frozen Storyteller's Journal","5.26%","15s","","","",""
"","7","Crystal of Soul's Flight","5.26%","10s","","","",""
"","8","Marco's Mystic Marker","5.26%","10s","","","",""
"","9","Token of Chromatic / Beacon of Meteor","5.26%","10s","","","",""
"","10","Lantern / Spelljammer","5.26%","10s","","","",""
"","11","Black Dragon's Mark","5.26%","10s","","","",""
"","12","Heart of the Volcano / Black Dragon","5.26%","10s","","","",""
"","13","Charm of the Serpent","5.26%","10s","","","",""
"","14","Tentacle Rod ","4.87%","10s","calculated with dulled sense, at -14% enemy awareness","","",""
"","15","Assassin's Dice ","4.77%","15s","calculated with vulnerability, at -14% enemy critical avoidance and 85% deflect severity","","",""
"","16","Grace of Pelor","4.21%","15s","","","",""
"","17","Jewel of Caldera","5.26%","10s","moves your character significantly","","",""
"","18","Jewel of the North","5.26%","10s","moves your character significantly","","",""
"","19","Thirst","5.26%","10s","moves your character significantly","","",""
"","20","Demon Skull","4.74%","10s","takes 8s before the first imp perishes, and 12s for the last","","",""
"","21","Broken Halo","4.74%","10s","","","",""
"","22","Sealing Parchment","3.95%","10s","","","",""
"","23","Wand of Domination","3.95%","10s","","","",""
"","24","Marilith Mask","3.95%","10s","","","",""
"","25","Realm Engine Core","3.95%","10s","","","",""
"","26","Bloodbrass Pistol","3.16%","10s"," calculated not in the pirates skyhold","","",""
